id_dt_ib,name_dt_ib,iso,from_year,to_year,is_current
0164,maharajganj,UP,1991,9999,1
0165,mahoba,UP,2001,9999,1
0166,mainpuri,UP,1951,9999,1
0167,mathura,UP,1951,9999,1
0168,mau,UP,1991,9999,1
0169,meerut,UP,1951,9999,1
0170,mirzapur,UP,1951,9999,1
0171,moradabad,UP,1951,9999,1
0172,muzaffarnagar,UP,1951,9999,1
0173,pilibhit,UP,1951,9999,1
0174,pratapgarh,UP,1951,9999,1
0175,raebareli,UP,1951,9999,1
0176,rampur,UP,1951,9999,1
0177,saharanpur,UP,1951,9999,1
0178,santkabeernagar,UP,2011,9999,1
0179,bhadohi,UP,2011,9999,1
0180,shahjahanpur,UP,1951,9999,1
0181,shravasti,UP,2011,9999,1
0182,siddharthnagar,UP,2001,9999,1
0183,sitapur,UP,1951,9999,1
0184,sonbhadra,UP,1991,9999,1
0185,sultanpur,UP,1951,9999,1
0186,unnao,UP,1951,9999,1
0187,varanasi,UP,1961,9999,1
0188,araria,BR,1991,9999,1
0189,aurangabad,BR,1981,9999,1
0190,banka,BR,2001,9999,1
0191,begusarai,BR,1981,9999,1
0192,bhagalpur,BR,1951,9999,1
0193,bhojpur,BR,1981,9999,1
0194,buxar,BR,2001,9999,1
0195,darbhanga,BR,1951,9999,1
0196,gaya,BR,1951,9999,1
0197,gopalganj,BR,1981,9999,1
0198,jamui,BR,2001,9999,1
0199,jehanabad,BR,1991,9999,1
0200,kaimurbhabua,BR,2011,9999,1
0201,katihar,BR,1981,9999,1
0202,khagaria,BR,1991,9999,1
0203,kishanganj,BR,1991,9999,1
0204,lakhisarai,BR,2001,9999,1
0205,madhepura,BR,1991,9999,1
0206,madhubani,BR,1981,9999,1
0207,munger,BR,1961,9999,1
0208,muzaffarpur,BR,1951,9999,1
0209,nalanda,BR,1981,9999,1
0210,nawada,BR,1981,9999,1
0211,pashchimchamparan,BR,1981,9999,1
0212,patna,BR,1951,9999,1
0213,purbichamparan,BR,2011,9999,1
0214,purnia,BR,1961,9999,1
0215,rohtas,BR,1981,9999,1
0216,saharsa,BR,1951,9999,1
0217,samastipur,BR,1981,9999,1
0218,saran,BR,1951,9999,1
0219,sheikhpura,BR,2001,9999,1
0220,sheohar,BR,2001,9999,1
0221,sitamarhi,BR,1981,9999,1
0222,siwan,BR,1981,9999,1
0223,supaul,BR,2001,9999,1
0224,vaishali,BR,1981,9999,1
0225,gangtok,SK,2011,9999,1
