year,dist,iso,names
1951,"madurai","TN","madurai"
1951,"coimbatore","TN","coimbatore"
1951,"nilgiris","TN","nilgiri,nilgiris"
1951,"malabar","TN","malabar"
1951,"southkanara","TN","southkanara"
1951,"madras","TN","madras"
1951,"dhulia","MH","dhulia"
1951,"jalgaon","MH","jalgaon"
1951,"sangli","MH","sangli"
1951,"manipur","MN","manipur"
1951,"shimoga","KA","shimoga"
1951,"chikmagalur","KA","chikmagalur"
1951,"chitaldurga","KA","chitaldurga"
1951,"tumkur","KA","tumkur"
1951,"hassan","KA","hassan"
1951,"mysore","KA","mysore"
1951,"mandya","KA","mandya"
1951,"bangalore","KA","bangalore"
1951,"kolar","KA","kolar"
1951,"nagahills","NL","kohima,nagahills"
1951,"tuensang","NL","tuensang"
1951,"baliparafrontiertract","AR","kameng,baliparafrontiertract"
1951,"mishmihills","AR","lohit,mishmihills"
1951,"aborhills","AR","siang,aborhills"
1951,"tirapfrontiertract","AR","tirap,tirapfrontiertract"
1951,"kalahandi","OR","kalahandi"
1951,"koraput","OR","koraput"
1951,"sambalpur","OR","sambalpur"
1951,"bolangir","OR","bolangir"
1951,"phulbani","OR","phulbani"
1951,"ganjam","OR","ganjam"
1951,"sundargarh","OR","sundargarh"
1951,"dhenkanal","OR","dhenkanal"
1951,"puri","OR","puri,purl"
1951,"keonjhar","OR","keonjhar"
1951,"cuttack","OR","cuttack"
1951,"mayurbhanj","OR","mayurbhanj"
1951,"balasore","OR","balasore"
1951,"karaikal","PY","karaikal"
1951,"mahe","PY","mahe"
1951,"pondicherry","PY","pondicherry"
1951,"yanam","PY","yanam"
1951,"kapurthala","PB","kapurthala"
1951,"barnala","PB","barnala"
1951,"bhatinda","PB","bhatinda"
1951,"sangrur","PB","sangrur"
1951,"patiala","PB","patiala"
1951,"fatehgarhsahib","PB","fatehgarhsahib"
1951,"kohistan","PB","kohistan"
1951,"mohindergarh","PB","mahendragarh,mohindergarh"
1951,"kangra","PB","kangara,kangra"
1951,"gurdaspur","PB","gurdaspur"
1951,"hoshiarpur","PB","hoshiarpur"
1951,"amritsar","PB","amritsar"
1951,"ferozepur","PB","ferozepur,ferozepore"
1951,"hissar","PB","hissar"
1951,"rohtak","PB","rohtak"
1951,"gurgaon","PB","gurgaon"
1951,"karnal","PB","karnal"
1951,"ambala","PB","ambala"
1951,"ludhiana","PB","ludhiana"
1951,"jullundur","PB","jullundur"
1951,"simla","PB","simla"
1951,"ganganagar","RJ","ganganagar"
1951,"bikaner","RJ","bikaner"
1951,"churu","RJ","churu"
1951,"jhunjhunu","RJ","jhunjhunun,jhunjhunu"
1951,"alwar","RJ","alwar"
1951,"bharatpur","RJ","bharatpur"
1951,"sawaimadhopur","RJ","sawaimadhopur"
1951,"jaipur","RJ","jaipur"
1951,"sikar","RJ","sikar"
1951,"tonk","RJ","tonk"
1951,"jaisalmer","RJ","jaisalmer"
1951,"jodhpur","RJ","jodhpur"
1951,"nagaur","RJ","nagaur"
1951,"pali","RJ","pali,pall"
1951,"barmer","RJ","barmer"
1951,"jalor","RJ","jalor,jalore"
1951,"sirohi","RJ","sirohi"
1951,"bhilwara","RJ","bhilwara,bhilwar"
1951,"udaipur","RJ","udaipur"
1951,"chittorgarh","RJ","chittaurgarh,chitorgarh,chittorgarh"
1951,"dungarpur","RJ","dungarpur"
1951,"banswara","RJ","banswara"
1951,"bundi","RJ","bundi"
1951,"kotah","RJ","kota,kotah"
1951,"jhalawar","RJ","jhalawar"
1951,"gohilwad","GJ","gohilwad"
1951,"halar","GJ","halar"
1951,"sorath","GJ","sorath"
1951,"centralsaurashtra","GJ","centralsaurashtra,madhyasaurashtra"
1951,"zalawad","GJ","zalawad"
1951,"sikkim","SK","sikkim"
1951,"tripura","TR","tripura"
1951,"tehrigarhwal","UP","tehrigarhwal"
1951,"garhwal","UP","garhwal,gurhwal"
1951,"almora","UP","almora"
1951,"nainital","UP","nainital"
1951,"dehra","UP","dehradun,dehr"
1951,"saharanpur","UP","saharanpur"
1951,"muzaffarnagar","UP","muzaffarnagar"
1951,"bijnor","UP","bijnor"
1951,"moradabad","UP","moradabad"
1951,"budaun","UP","budaun,buduan,badaun"
1951,"rampur","UP","rampur"
1951,"bareilly","UP","bareilly"
1951,"pilibhit","UP","pilibhit,pilibhlt"
1951,"shahjahanpur","UP","shahjahanpur"
1951,"meerut","UP","meerut"
1951,"bulandshahr","UP","bulandshahr"
1951,"aligarh","UP","aligarh"
1951,"mathura","UP","mathura"
1951,"agra","UP","agra"
1951,"etah","UP","etah"
1951,"mainpuri","UP","mainpuri"
1951,"farrukhabad","UP","farrukhabad,farukhabad"
1951,"etawah","UP","etawah"
1951,"hardoi","UP","hardoi"
1951,"kheri","UP","kheri,kherl"
1951,"sitapur","UP","sitapur"
1951,"kanpur","UP","kanpur"
1951,"fatehpur","UP","fatehpur"
1951,"allahabad","UP","allahabad"
1951,"jhansi","UP","jhansi"
1951,"jalaun","UP","jalaun"
1951,"hamirpur","UP","hamirpur"
1951,"banda","UP","banda"
1951,"bahraich","UP","bahraich"
1951,"barabanki","UP","barabanki"
1951,"lucknow","UP","lucknow"
1951,"unnao","UP","unnao"
1951,"gonda","UP","gonda"
1951,"raebareli","UP","raebareli"
1951,"sultanpur","UP","sultanpur"
1951,"faizabad","UP","faizabad,fijzabad"
1951,"basti","UP","basti"
1951,"gorakhpur","UP","gorakhpur"
1951,"deoria","UP","deoria"
1951,"pratapgarh","UP","pratapgarh"
1951,"jaunpur","UP","jaunpur"
1951,"azamgarh","UP","azamgarh"
1951,"ballia","UP","ballia"
1951,"ghazipur","UP","ghazipur"
1951,"banares","UP","varanasi,banares,banaras"
1951,"mirzapur","UP","mirzapur"
1951,"darjeeling","WB","darjeeling"
1951,"jalpaiguri","WB","jalpaiguri"
1951,"coochbehar","WB","coochbehar,cooch"
1951,"westdinajpur","WB","westdinajpur"
1951,"malda","WB","malda"
1951,"murshidabad","WB","murshidabad"
1951,"nadia","WB","nadia"
1951,"twentyfourparganas","WB","twentyfourparganas,parganas,24parganas,24-paraganas,twetyfourparganas"
1951,"calcutta","WB","calcutta"
1951,"howrah","WB","howrah"
1951,"hooghly","WB","hooghly"
1951,"burdwan","WB","burdwan"
1951,"birbhum","WB","birbhum"
1951,"midnapur","WB","midnapore,midnapur"
1951,"bankura","WB","bankura"
1961,"andamannicobarislands","AN","andamannicobarislands"
1961,"adilabad","AP","adilabad"
1961,"anantapur","AP","anantapur"
1961,"chittoor","AP","chittoor"
1961,"cuddapah","AP","cuddapah"
1961,"eastgodavari","AP","eastgodavari"
1961,"guntur","AP","guntur"
1961,"hyderabad","AP","hyderabad"
1961,"karimnagar","AP","karimnagar"
1961,"khammam","AP","khammam"
1961,"krishna","AP","krishna"
1961,"kurnool","AP","kurnool"
1961,"mahbubnagar","AP","mahbubnagar"
1961,"medak","AP","medak"
1961,"nalgonda","AP","nalgonda"
1961,"nellore","AP","nellore,nellohe"
1961,"nizamabad","AP","nizamabad"
1961,"srikakulam","AP","srikakulam"
1961,"visakhapatnam","AP","visakhapatnam"
1961,"warangal","AP","warangal"
1961,"westgodavari","AP","westgodavari"
1961,"cachar","AS","cachar"
1961,"darrang","AS","darrang"
1961,"garohills","AS","garohills,meghalayagarohills"
1961,"goalpara","AS","goalpara"
1961,"kamrup","AS","kamrup"
1961,"lakhimpur","AS","lakhimpur"
1961,"mizohills","AS","mizohills"
1961,"nowgong","AS","nowgong"
1961,"sibsagar","AS","sibsagar"
1961,"unitedkhasijaintiahills","AS","unitedkhasijaintiahills"
1961,"unitedmikirnorthcacharhills","AS","unitedmikirnorthcachar,unitedmikirnorthcacharhills,unitedmikirandnorthcacharhill"
1961,"bhagalpur","BR","bhagalpur"
1961,"champaran","BR","champaran"
1961,"darbhanga","BR","darbhanga"
1961,"dhanbad","BR","dhanbad"
1961,"gaya","BR","gaya"
1961,"hazaribag","BR","hazaribag,hazaribagh"
1961,"munger","BR","monghyar,monghyr"
1961,"muzaffarpur","BR","muzaffarpur"
1961,"palamau","BR","palamau"
1961,"patna","BR","patna"
1961,"purnia","BR","purnia,purnea"
1961,"ranchi","BR","ranchi"
1961,"saharsa","BR","saharsa"
1961,"santhalparganas","BR","santhalparganas,santalparganas,12santalparganas,12 santal parganas"
1961,"saran","BR","saran"
1961,"shahabad","BR","shahabad"
1961,"singhbhum","BR","singhbhum"
1961,"dadranagarhaveli","DN","dadranagarhaveli"
1961,"delhi","DL","delhi"
1961,"daman","DG","daman"
1961,"diu","DG","diu"
1961,"goa","DG","goa"
1961,"ahmedabad","GJ","ahmedabad"
1961,"amreli","GJ","amreli"
1961,"banaskantha","GJ","banaskantha"
1961,"baroda","GJ","baroda"
1961,"bhavnagar","GJ","bhavnagar"
1961,"broach","GJ","broach"
1961,"dangs","GJ","dangs"
1961,"jamnagar","GJ","jamnagar"
1961,"junagadh","GJ","junagadh"
1961,"kaira","GJ","kaira,kheda"
1961,"kutch","GJ","kutch"
1961,"mehsana","GJ","mehsana"
1961,"panchmahals","GJ","panchmahals"
1961,"rajkot","GJ","rajkot"
1961,"sabarkantha","GJ","sabarkantha"
1961,"surat","GJ","surat"
1961,"surendranagar","GJ","surendranagar"
1961,"bilaspur","HP","bilaspur"
