round,id_st_ib,name_st_round,names
cen1981,06,haryana,"haryana,hrharyana,hr"
cen1981,07,delhi,"delhincr,delhi,dldelhi,newdelhi,nationalcapitalterritorydelhi,nctdelhi,nct,dl"
cen1981,08,rajasthan,"rajasthan,rjrajasthan,rj"
cen1981,09,uttarpradesh,"uttarpradesh,uputtarpradesh,uttarapradesh,up"
cen1981,10,bihar,"bihar,bhbihar,br"
cen1981,11,sikkim,"sikkim,sksikkim,sk"
cen1981,12,arunachalpradesh,"arunachalpradesh,ararunachalpradesh,arunanchalpradesh,ar"
cen1981,13,nagaland,"nagaland,nanagaland,nl"
cen1981,14,manipur,"manipur,mamanipur,mn"
cen1981,15,mizoram,"mizohills,mizoram"
cen1981,16,tripura,"tripura,trtripura,tr"
cen1981,17,meghalaya,"shillong,meghalay,meghalaya"
cen1981,18,assam,"assam,asassam,as"
cen1981,19,westbengal,"westbengal,wbwestbengal,wb"
cen1981,21,orissa,"orissa,ororissa,or"
cen1981,23,madhyapradesh,"madhyapradesh,madhypradesh,mpmadhyapradesh,mp"
cen1981,24,gujarat,"gujarat,gjgujarat,gujrat,gj,kutch,saurashtra"
cen1981,26,dadranagarhaveli,dadranagarhaveli
cen1981,27,maharashtra,"maharashtra,mhmaharashtra,mh,ms"
cen1981,28,andhrapradesh,"andhrapradesh,apandhrapradesh,ap"
cen1981,29,karnataka,"karnataka,kakarnataka,ka,mysore"
cen1981,31,lakshadweep,"laccadiveminicoyamindiviislands,laccadiveminicoiamindiviislands,laccadive,lakshadweep,lakshdweep"
cen1981,32,kerala,"kerala,kekerala,kerela,kl,travancorecochin"
cen1981,33,tamilnadu,"tamilnadu,tntamilnadu,tn,madras"
cen1981,34,pondicherry,"puducherry,pondicherry,pondi,py,pondicherryfrench"
cen1981,35,andamannicobarislands,"andamannicobarislands,andamannicobarisland,anislands,anisland,andamannicobar,an"
cen1981,9990006,goadamandiu,"goadamandiu,goadamandiuportugese"
cen1991,01,jammukashmir,"jammukashmir,jmjammukashmir,jammu,jk"
cen1991,02,himachalpradesh,"himachalpradesh,hphimachalpradesh,himachal,hp,bilaspur"
cen1991,03,punjab,"punjab,pjpunjab,panjab,pb"
cen1991,04,chandigarh,"chandigarh,sahibzadaajitsinghnagar"
