S.No.,State Code,State Name,District Code,District Name,Census 2001 Code,Census 2011 Code
705,9,UTTAR PRADESH,158,KAUSHAMBI,44,174
706,9,UTTAR PRADESH,159,KHERI,23,153
707,9,UTTAR PRADESH,160,KUSHI NAGAR,59,189
708,9,UTTAR PRADESH,161,LALITPUR,37,167
709,9,UTTAR PRADESH,162,LUCKNOW,27,157
710,9,UTTAR PRADESH,164,MAHARAJGANJ,57,187
711,9,UTTAR PRADESH,165,MAHOBA,39,169
712,9,UTTAR PRADESH,166,MAINPURI,18,148
713,9,UTTAR PRADESH,167,MATHURA,14,145
714,9,UTTAR PRADESH,168,MAU,62,192
715,9,UTTAR PRADESH,169,MEERUT,07,138
716,9,UTTAR PRADESH,170,MIRZAPUR,69,199
717,9,UTTAR PRADESH,171,MORADABAD,04,135
718,9,UTTAR PRADESH,172,MUZAFFARNAGAR,02,133
719,9,UTTAR PRADESH,173,PILIBHIT,21,151
720,9,UTTAR PRADESH,174,PRATAPGARH,43,173
721,9,UTTAR PRADESH,120,PRAYAGRAJ,45,175
722,9,UTTAR PRADESH,175,RAE BARELI,28,158
723,9,UTTAR PRADESH,176,RAMPUR,05,136
724,9,UTTAR PRADESH,177,SAHARANPUR,01,132
725,9,UTTAR PRADESH,659,SAMBHAL,,000
726,9,UTTAR PRADESH,178,SANT KABEER NAGAR,56,186
727,9,UTTAR PRADESH,180,SHAHJAHANPUR,22,152
728,9,UTTAR PRADESH,660,SHAMLI,,000
729,9,UTTAR PRADESH,181,SHRAVASTI,51,181
730,9,UTTAR PRADESH,182,SIDDHARTH NAGAR,54,184
731,9,UTTAR PRADESH,183,SITAPUR,24,154
732,9,UTTAR PRADESH,184,SONBHADRA,70,200
733,9,UTTAR PRADESH,185,SULTANPUR,49,179
734,9,UTTAR PRADESH,186,UNNAO,26,156
735,9,UTTAR PRADESH,187,VARANASI,67,197
736,19,WEST BENGAL,303,24 PARAGANAS NORTH,11,337
737,19,WEST BENGAL,304,24 PARAGANAS SOUTH,18,343
738,19,WEST BENGAL,664,Alipurduar,,000
739,19,WEST BENGAL,305,BANKURA,13,339
740,19,WEST BENGAL,307,BIRBHUM,08,334
741,19,WEST BENGAL,308,COOCHBEHAR,03,329
742,19,WEST BENGAL,309,DARJEELING,01,327
743,19,WEST BENGAL,310,DINAJPUR DAKSHIN,05,331
744,19,WEST BENGAL,311,DINAJPUR UTTAR,04,330
745,19,WEST BENGAL,312,HOOGHLY,12,338
746,19,WEST BENGAL,313,HOWRAH,16,341
747,19,WEST BENGAL,314,JALPAIGURI,02,328
748,19,WEST BENGAL,703,Jhargram,,000
749,19,WEST BENGAL,702,KALIMPONG,,000
750,19,WEST BENGAL,315,KOLKATA,17,342
751,19,WEST BENGAL,316,MALDAH,06,332
752,19,WEST BENGAL,317,MEDINIPUR EAST,15,345
753,19,WEST BENGAL,318,MEDINIPUR WEST,15,344
754,19,WEST BENGAL,319,MURSHIDABAD,07,333
755,19,WEST BENGAL,320,NADIA,10,336
756,19,WEST BENGAL,704,PASCHIM BARDHAMAN,,000
757,19,WEST BENGAL,306,PURBA BARDHAMAN,09,335
758,19,WEST BENGAL,321,PURULIA,14,340
,,,,,,
"Sep 14, 2022 10:39 AM",,,,,,
